Filename,Prediction,Confidence
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\193\193-1-2.jpg,plax,0.995
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\289\289-2-1.jpg,psax-ap,0.995
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\293\293-1-1.jpg,plax,0.995
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\323-332芝嫻\323\323-1-2.jpg,plax,0.995
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\333-342季蓁\338\338-1-1.jpg,plax,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-3-1.jpg,a5c,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\451\451-4-2.jpg,a5c,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\523-532岱蓉\525\525-1-1.jpg,plax,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\593-602秀娟\600\600-1-3.jpg,plax,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\613-622郁媛\618\618-1-1.jpg,plax,0.995
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-4-2.jpg,a5c,0.995
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\100\100-1-1.jpg,plax,0.995
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\62\62-1-3.jpg,plax,0.995
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\63\63-1-1.jpg,plax,0.995
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-3.jpg,a5c,0.995
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\96\96-1-2.jpg,plax,0.995
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\48\48-3-3.jpg,a4c,0.995
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-1.jpg,a4c,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\162\162-1-1.jpg,plax,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\187\187-1-2.jpg,plax,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\207\207-1-1.jpg,plax,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\210\210-1-3.jpg,plax,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\243-252琤珮\249\249-2-2.jpg,psax-ap,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\243-252琤珮\249\249-2-3.jpg,psax-ap,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\253-262郁媛\257\257-3-2.jpg,a5c,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\306\306-3-1.jpg,a4c,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\306\306-3-2.jpg,a4c,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\381\381-2-1.jpg,psax-ap,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-3-3.jpg,a5c,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\423-432琤珮\426\426-1-2.jpg,plax,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\423-432琤珮\427\427-1-3.jpg,psax-av,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\450\450-1-3.jpg,psax-av,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\485\485-2-1.jpg,psax-ap,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\503-512芝嫻\512\512-1-3.jpg,plax,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\520\520-3-1.jpg,a5c,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\543-552琤珮\548\548-1-2.jpg,plax,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\543-552琤珮\548\548-2-1.jpg,psax-ap,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-4-3.jpg,a5c,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\569\569-1-2.jpg,plax,0.994
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\604\604-4-2.jpg,a5c,0.994
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\38\38-1-2.jpg,plax,0.994
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\42\42-1-1.jpg,psax-ap,0.994
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\152\152-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\153\153-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\156\156-2-1.jpg,psax-ap,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\173\173-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\175\175-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\183\183-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\187\187-1-1.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\192\192-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\203\203-2-3.jpg,psax-ap,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-2.jpg,a5c,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\253-262郁媛\260\260-3-2.jpg,psax-av,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\273-282季蓁\278\278-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\292\292-2-2.jpg,psax-ap,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\299\299-2-2.jpg,psax-ap,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\307\307-1-3.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\382\382-3-2.jpg,a4c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\384\384-4-2.jpg,a5c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\400\400-4-1.jpg,a5c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\408\408-1-2.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\468\468-2-3.jpg,a5c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\473-482秀娟\473\473-1-1.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\483\483-3-2.jpg,a4c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\533-542秀娟\542\542-1-1.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\569\569-1-1.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\593-602秀娟\600\600-1-1.jpg,plax,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\604\604-4-3.jpg,a5c,0.993
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\637\637-4-3.jpg,a5c,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\60\60-1-2.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\61\61-1-2.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\61\61-1-3.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\63\63-1-2.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\71\71-1-3.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-1-3.jpg,plax,0.993
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\93\93-1-1.jpg,plax,0.993
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\47\47-1-2.jpg,plax,0.993
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\142\142-1-1.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-2.jpg,a4c,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\154\154-1-2.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\156\156-2-2.jpg,psax-ap,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\162\161-3-2.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\162\162-1-3.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\167\167-2-2.jpg,psax-ap,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\205\205-1-3.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\212\212-1-1.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\234\234-2-3.jpg,psax-ap,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-1.jpg,a5c,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\343-352岱蓉\348\348-3-3.jpg,a5c,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\381\381-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\423-432琤珮\431\431-2-3.jpg,psax-ap,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\449\449-1-1.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\449\449-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\503-512芝嫻\503\503-2-3.jpg,psax-ap,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\503-512芝嫻\512\512-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\516\516-3-3.jpg,a5c,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\523-532岱蓉\527\527-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\543-552琤珮\548\548-2-2.jpg,psax-ap,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\583-592岱蓉\590\590-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\623\623-1-2.jpg,plax,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\637\637-4-1.jpg,a5c,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\643\643-2-1.jpg,psax-ap,0.992
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\648\648-2-2.jpg,psax-ap,0.992
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\102\102-2-1.jpg,psax-ap,0.992
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\4\4-1-1.jpg,plax,0.992
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\133\133-1-1.jpg,plax,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\150\150-2-1.jpg,psax-ap,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\158\158-1-2.jpg,plax,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\175\175-1-1.jpg,plax,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\194\194-1-2.jpg,plax,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-3.jpg,a5c,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\290\290-3-1.jpg,a5c,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\291\291-2-1.jpg,psax-ap,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\299\299-2-3.jpg,psax-ap,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\301\301-3-1.jpg,a4c,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\312\312-2-1.jpg,psax-ap,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\323-332芝嫻\331\331-2-1.jpg,psax-ap,0.991
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\353-362秀娟\355\355-2-1.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\383\383-4-1.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-2-3.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\406\406-3-1.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\423-432琤珮\423\423-4-1.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\452\452-3-1.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\473-482秀娟\474\474-2-1.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\485\485-2-2.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\491\491-4-2.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\515\515-1-2.jpg,plax,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\523-532岱蓉\527\527-1-3.jpg,plax,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\543-552琤珮\546\546-2-1.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\554\554-4-3.jpg,a5c,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\613-622郁媛\614\614-2-1.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\613-622郁媛\616\616-2-2.jpg,psax-ap,0.991
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\647\647-3-2.jpg,a5c,0.991
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\96\96-1-1.jpg,plax,0.991
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\25\25-3-3.jpg,a4c,0.991
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\48\48-3-2.jpg,a4c,0.991
